views,favorite,post_info,price,car_name,year,A_C,emission_class,seats_amount,horsepower,color,"car_mileage, km","engine_capacity, cc",type_of_drive,doors,fuel,car_type,gearbox
40,0,posted 2 weeks ago,10450,Opel Insignia,2015,automatic A/C,Euro 6,5,170 HP (125 kW),green,204500,1956,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
113,2,posted 2 weeks ago,8200,Opel Insignia,2014,automatic A/C,Euro 5,5,140 HP (103 kW),white,182606,205,front,4/5 doors,diesel,limousine,"manual, 6 speeds"
61,0,posted a week ago,6500,Opel Insignia,2012,automatic A/C,Euro 5,5,131 HP (96 kW),black,225000,1996,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
181,1,updated 6 days ago,6499,Opel Insignia,2012,automatic A/C,Euro 5,5,131 HP (96 kW),black,271225,1956,front,4/5 doors,diesel,limousine,"manual, 6 speeds"
62,0,posted 2 weeks ago,7500,Opel Insignia,2012,automatic A/C,Euro 6,5,131 HP (96 kW),gray,174000,1980,front,4/5 doors,diesel,limousine,"manual, 6 speeds"
87,0,posted a week ago,6100,Opel Insignia,2012,automatic A/C,Euro 5,5,110 HP (81 kW),gray,176719,1956,front,4/5 doors,diesel,limousine,"manual, 6 speeds"
522,3,updated yesterday,6850,Opel Insignia,2012,automatic A/C,Euro 5,5,140 HP (103 kW),white,220000,1796,front,4/5 doors,petrol,limousine,"manual, 6 speeds"
365,3,updated 4 days ago,6499,Opel Insignia,2012,automatic A/C,Euro 5,5,110 HP (81 kW),black,206329,1956,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
465,4,updated 3 weeks ago,6800,Opel Insignia,2012,automatic A/C,Euro 5,5,163 HP (120 kW),gray,270000,2000,front,4/5 doors,diesel,limousine,"manual, 6 speeds"
38,1,posted 2 days ago,5900,Opel Insignia,2011,no A/C,,5,159 HP (117 kW),black,260000,2000,front,4/5 doors,diesel,caravan,automatic
109,0,posted a week ago,5000,Opel Insignia,2011,automatic A/C,Euro 5,5,131 HP (96 kW),black,224578,1998,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
38,1,posted 3 days ago,5650,Opel Insignia,2011,automatic A/C,Euro 5,5,160 HP (118 kW),white,37000,1999,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
780,5,updated 3 weeks ago,4100,Opel Insignia,2011,automatic A/C,,5,131 HP (96 kW),brown,235000,2000,front,4/5 doors,diesel,hatchback,"manual, 6 speeds"
46,1,posted 2 weeks ago,5500,Opel Insignia,2011,automatic A/C,Euro 5,5,160 HP (118 kW),silver,224000,1998,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
51,1,posted a week ago,5400,Opel Insignia,2010,automatic A/C,Euro 5,5,160 HP (118 kW),silver,186000,1956,front,4/5 doors,diesel,caravan,automatic
59,0,posted 4 days ago,5300,Opel Insignia,2010,automatic A/C,Euro 5,5,131 HP (96 kW),gray,250000,1998,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
6710,66,updated 3 weeks ago,5450,Opel Insignia,2010,automatic A/C,Euro 5,5,131 HP (96 kW),white,244000,2000,front,4/5 doors,diesel,limousine,"manual, 6 speeds"
101,0,updated 5 days ago,5400,Opel Insignia,2010,automatic A/C,Euro 5,5,160 HP (118 kW),white,290000,1956,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
10,0,posted today,4000,Opel Insignia,2010,automatic A/C,Euro 4,5,150 HP (110 kW),black,214863,1986,front,4/5 doors,diesel,caravan,automatic
19,0,posted today,5000,Opel Insignia,2010,no A/C,Euro 1,5,136 HP (100 kW),black,200000,2020,front,4/5 doors,diesel,caravan,automatic
408,2,updated a week ago,5899,Opel Insignia,2010,automatic A/C,Euro 5,5,160 HP (118 kW),gray,191932,1956,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
39,2,posted 3 days ago,5200,Opel Insignia,2010,automatic A/C,,5,131 HP (96 kW),silver,228000,1959,front,4/5 doors,diesel,limousine,"manual, 6 speeds"
17,0,posted 2 days ago,6700,Opel Insignia,2010,automatic A/C,,5,160 HP (118 kW),gray,228500,1968,front,4/5 doors,diesel,limousine,"manual, 6 speeds"
7,0,posted today,5400,Opel Insignia,2010,automatic A/C,Euro 5,5,131 HP (96 kW),gray,293000,2000,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
40,0,posted 2 days ago,4900,Opel Insignia,2010,automatic A/C,Euro 5,5,131 HP (96 kW),black,183637,2000,front,4/5 doors,diesel,limousine,"manual, 6 speeds"
130,1,posted 4 weeks ago,6000,Opel Insignia,2010,automatic A/C,Euro 5,5,220 HP (162 kW),white,146725,1998,front,4/5 doors,petrol,caravan,automatic
193,0,posted 3 weeks ago,5250,Opel Insignia,2010,manual A/C,Euro 5,5,131 HP (96 kW),black,262000,2000,front,4/5 doors,diesel,hatchback,"manual, 6 speeds"
51,0,posted 2 weeks ago,6700,Opel Insignia,2010,automatic A/C,Euro 5,5,160 HP (118 kW),black,187100,2000,front,4/5 doors,diesel,limousine,automatic
74,0,posted a week ago,5650,Opel Insignia,2009,automatic A/C,Euro 5,5,116 HP (85 kW),black,179771,1586,front,4/5 doors,petrol,limousine,"manual, 6 speeds"
