views,favorite,post_info,price,car_name,year,A_C,emission_class,seats_amount,horsepower,color,"car_mileage, km","engine_capacity, cc",type_of_drive,doors,fuel,car_type,gearbox
58,0,posted a week ago,1100,Alfa Romeo 11.9,2002,,,,,,,,,,,,
55,0,posted 2 days ago,1100,Alfa Romeo 145,2000,manual A/C,Euro 3,5,106 HP (78 kW),gray,158546,1400,front,2/3 doors,petrol + gas,hatchback,"manual, 5 speeds"
136,4,posted 2 weeks ago,950,Alfa Romeo 145,1999,manual A/C,Euro 3,5,105 HP (77 kW),green,337000,1910,front,2/3 doors,diesel,hatchback,"manual, 5 speeds"
209,1,posted 4 weeks ago,500,Alfa Romeo 146,2000,manual A/C,Euro 3,5,120 HP (88 kW),gray,200000,1600,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
61,0,posted 2 days ago,111,Alfa Romeo 147,2024,automatic A/C,,5,116 HP (85 kW),gray,280000,1900,front,2/3 doors,diesel,hatchback,"manual, 5 speeds"
196,2,posted 4 weeks ago,2300,Alfa Romeo 147,2008,no A/C,,5,105 HP (77 kW),black,188000,1600,front,4/5 doors,petrol + gas,hatchback,"manual, 5 speeds"
133,1,updated 5 days ago,3500,Alfa Romeo 147,2008,automatic A/C,Euro 4,5,170 HP (125 kW),black,255000,1929,front,4/5 doors,diesel,hatchback,"manual, 6 speeds"
290,6,updated 6 days ago,2150,Alfa Romeo 147,2008,manual A/C,Euro 4,5,90 HP (66 kW),black,214000,1600,front,4/5 doors,petrol + gas,hatchback,"manual, 5 speeds"
2629,16,updated a week ago,1350,Alfa Romeo 147,2008,automatic A/C,Euro 4,5,120 HP (88 kW),white,315000,1910,front,4/5 doors,diesel,hatchback,"manual, 6 speeds"
89,0,posted a week ago,2000,Alfa Romeo 147,2007,no A/C,Euro 4,5,105 HP (77 kW),black,176853,1597,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
64,0,posted a week ago,2500,Alfa Romeo 147,2007,no A/C,,5,105 HP (77 kW),red,228650,1600,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
1265,17,updated a week ago,900,Alfa Romeo 147,2007,automatic A/C,Euro 5,5,120 HP (88 kW),black,280000,1600,front,2/3 doors,petrol + gas,hatchback,"manual, 5 speeds"
117,2,posted 3 weeks ago,2250,Alfa Romeo 147,2007,automatic A/C,Euro 4,5,120 HP (88 kW),brown,247000,1600,front,4/5 doors,petrol + gas,hatchback,"manual, 5 speeds"
104,4,posted a week ago,1950,Alfa Romeo 147,2006,manual A/C,Euro 3,5,105 HP (77 kW),gray,158600,1600,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
736,16,posted 2 weeks ago,700,Alfa Romeo 147,2006,manual A/C,Euro 3,5,120 HP (88 kW),black,299610,1600,front,2/3 doors,petrol + gas,hatchback,"manual, 5 speeds"
42,0,posted 2 days ago,1000,Alfa Romeo 147,2005,no A/C,,5,120 HP (88 kW),gray,123456,1600,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
422,4,updated a week ago,3999,Alfa Romeo 147,2005,automatic A/C,Euro 3,4,150 HP (110 kW),black,250750,1910,front,2/3 doors,diesel,hatchback,"manual, 6 speeds"
178,4,posted 4 weeks ago,2000,Alfa Romeo 147,2004,no A/C,,5,141 HP (104 kW),red,318000,1900,front,4/5 doors,diesel,hatchback,"manual, 6 speeds"
90,1,posted a week ago,1800,Alfa Romeo 147,2004,manual A/C,Euro 4,5,109 HP (80 kW),silver,220000,1900,front,4/5 doors,diesel,hatchback,"manual, 5 speeds"
180,2,posted 6 days ago,1000,Alfa Romeo 147,2004,manual A/C,,5,116 HP (85 kW),gray,350000,1910,front,4/5 doors,diesel,hatchback,"manual, 5 speeds"
202,6,posted 4 weeks ago,1599,Alfa Romeo 147,2004,automatic A/C,Euro 4,5,150 HP (110 kW),red,103000,1984,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
469,4,posted 2 weeks ago,700,Alfa Romeo 147,2004,manual A/C,Euro 3,5,120 HP (88 kW),red,280560,1600,front,2/3 doors,petrol,hatchback,"manual, 5 speeds"
158,3,yesterday,550,Alfa Romeo 147,2003,manual A/C,Euro 3,5,105 HP (77 kW),black,280000,1600,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
388,14,posted 3 weeks ago,700,Alfa Romeo 147,2003,manual A/C,Euro 3,5,116 HP (85 kW),gray,314458,1910,front,4/5 doors,diesel,hatchback,"manual, 5 speeds"
36,0,posted 3 days ago,1300,Alfa Romeo 147,2003,manual A/C,Euro 3,5,116 HP (85 kW),black,300000,1910,front,4/5 doors,diesel,hatchback,"manual, 5 speeds"
113,0,posted a week ago,950,Alfa Romeo 147,2003,manual A/C,,5,116 HP (85 kW),teget,300000,1910,front,2/3 doors,diesel,hatchback,"manual, 5 speeds"
1408,0,updated 2 days ago,350,Alfa Romeo 147,2003,manual A/C,Euro 3,5,102 HP (75 kW),blue,255000,1600,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
120,2,posted 3 days ago,700,Alfa Romeo 147,2003,manual A/C,Euro 1,5,105 HP (77 kW),silver,210000,1600,front,2/3 doors,petrol,hatchback,"manual, 5 speeds"
147,4,posted 2 weeks ago,1450,Alfa Romeo 147,2003,manual A/C,Euro 3,5,116 HP (85 kW),blue,285000,1900,front,4/5 doors,diesel,hatchback,"manual, 5 speeds"
111,1,posted 2 weeks ago,1200,Alfa Romeo 147,2003,manual A/C,Euro 3,5,120 HP (88 kW),red,187399,1600,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
84,1,yesterday,900,Alfa Romeo 147,2002,manual A/C,Euro 3,5,120 HP (88 kW),blue,240000,1600,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
90,0,posted 2 days ago,999,Alfa Romeo 147,2002,automatic A/C,Euro 4,5,105 HP (77 kW),blue,144000,1600,front,2/3 doors,petrol + gas,coupe,"manual, 5 speeds"
188,1,posted 6 days ago,400,Alfa Romeo 147,2002,manual A/C,Euro 3,5,105 HP (77 kW),gray,260000,1600,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
261,2,posted 3 days ago,500,Alfa Romeo 147,2002,manual A/C,,4,109 HP (80 kW),green,226000,1600,front,2/3 doors,petrol,hatchback,"manual, 5 speeds"
135,2,posted a week ago,1150,Alfa Romeo 147,2002,manual A/C,Euro 2,5,116 HP (85 kW),gray,286785,1900,front,4/5 doors,diesel,hatchback,"manual, 5 speeds"
68,0,posted 5 days ago,1300,Alfa Romeo 147,2002,no A/C,,5,680 HP (500 kW),gray,1,1600,front,4/5 doors,petrol,limousine,"manual, 5 speeds"
154,0,posted a week ago,1150,Alfa Romeo 147,2002,automatic A/C,,5,116 HP (85 kW),black,365085,1900,front,2/3 doors,diesel,hatchback,"manual, 5 speeds"
125,1,posted 5 days ago,870,Alfa Romeo 147,2002,manual A/C,Euro 3,5,105 HP (77 kW),gray,236411,1598,front,2/3 doors,petrol,hatchback,"manual, 5 speeds"
97,0,posted 2 weeks ago,3000,Alfa Romeo 147,2002,manual A/C,Euro 5,5,116 HP (85 kW),black,100000,1910,front,2/3 doors,diesel,coupe,"manual, 6 speeds"
103,2,posted 2 weeks ago,1500,Alfa Romeo 147,2002,manual A/C,Euro 3,5,105 HP (77 kW),gray,200000,1595,front,2/3 doors,petrol,hatchback,"manual, 5 speeds"
241,6,posted a week ago,750,Alfa Romeo 147,2002,automatic A/C,,5,120 HP (88 kW),silver,328214,1598,front,2/3 doors,petrol + gas,hatchback,"manual, 5 speeds"
57,0,posted 4 days ago,300,Alfa Romeo 147,2001,manual A/C,Euro 3,5,105 HP (77 kW),gray,555555,1598,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
9,0,posted today,1050,Alfa Romeo 147,2001,manual A/C,Euro 3,5,120 HP (88 kW),gray,267000,1600,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
118,1,posted 5 days ago,650,Alfa Romeo 147,2001,automatic A/C,Euro 1,5,120 HP (88 kW),blue,248134,1600,front,2/3 doors,petrol,limousine,"manual, 5 speeds"
181,5,posted 5 days ago,450,Alfa Romeo 147,2001,manual A/C,Euro 3,5,120 HP (88 kW),gray,30000,1600,front,2/3 doors,petrol + gas,coupe,"manual, 5 speeds"
94,2,posted 2 weeks ago,1200,Alfa Romeo 147,2001,automatic A/C,Euro 3,5,105 HP (77 kW),red,250000,1600,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
114,0,posted a week ago,1350,Alfa Romeo 147,2001,automatic A/C,Euro 3,5,116 HP (85 kW),red,209000,1910,front,4/5 doors,diesel,hatchback,"manual, 5 speeds"
162,4,posted 3 weeks ago,1500,Alfa Romeo 147,2001,manual A/C,Euro 3,5,105 HP (77 kW),red,248510,1600,front,2/3 doors,petrol,hatchback,"manual, 5 speeds"
69,0,posted 3 weeks ago,2500,Alfa Romeo 147,2001,automatic A/C,,5,105 HP (77 kW),blue,294088,1596,front,4/5 doors,petrol + gas,hatchback,"manual, 5 speeds"
117,2,posted 5 days ago,1350,Alfa Romeo 156,2004,automatic A/C,,5,116 HP (85 kW),black,250000,1910,front,4/5 doors,diesel,caravan,"manual, 5 speeds"
1607,5,updated a week ago,2990,Alfa Romeo 156,2004,automatic A/C,Euro 4,5,140 HP (103 kW),silver,205000,1900,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
3380,9,updated a week ago,2990,Alfa Romeo 156,2004,automatic A/C,Euro 4,5,140 HP (103 kW),silver,205000,1910,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
75,1,posted a week ago,2000,Alfa Romeo 156,2004,automatic A/C,Euro 3,5,116 HP (85 kW),gray,281992,1900,front,4/5 doors,diesel,limousine,"manual, 5 speeds"
88,3,posted a week ago,1450,Alfa Romeo 156,2003,manual A/C,Euro 3,5,116 HP (85 kW),gray,275895,1910,front,4/5 doors,diesel,limousine,"manual, 5 speeds"
592,5,updated 4 days ago,1100,Alfa Romeo 156,2002,automatic A/C,Euro 4,5,120 HP (88 kW),gray,255000,1900,front,4/5 doors,diesel,caravan,"manual, 5 speeds"
112,1,posted 5 days ago,600,Alfa Romeo 156,2002,manual A/C,Euro 3,5,120 HP (88 kW),gray,300000,1900,front,4/5 doors,diesel,limousine,"manual, 5 speeds"
492,4,posted 3 weeks ago,500,Alfa Romeo 156,2002,manual A/C,Euro 3,5,120 HP (88 kW),gray,230000,1600,front,4/5 doors,petrol,caravan,"manual, 5 speeds"
129,1,posted a week ago,1350,Alfa Romeo 156,2002,manual A/C,Euro 3,5,140 HP (103 kW),gray,276000,1800,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
23,0,posted today,250,Alfa Romeo 156,2002,manual A/C,Euro 3,5,129 HP (95 kW),gray,220050,1997,front,4/5 doors,petrol,limousine,"manual, 5 speeds"
490,4,updated 2 days ago,2500,Alfa Romeo 156,2002,manual A/C,Euro 3,5,116 HP (85 kW),gray,276037,1900,front,4/5 doors,diesel,limousine,"manual, 5 speeds"
153,2,posted a week ago,750,Alfa Romeo 156,2002,manual A/C,Euro 3,5,116 HP (85 kW),gray,350000,1898,front,4/5 doors,diesel,caravan,"manual, 5 speeds"
405,10,posted 4 weeks ago,1300,Alfa Romeo 156,2002,automatic A/C,Euro 4,5,116 HP (85 kW),silver,201000,1998,front,4/5 doors,diesel,limousine,"manual, 6 speeds"
146,1,updated a week ago,1400,Alfa Romeo 156,2002,automatic A/C,Euro 3,5,116 HP (85 kW),gray,299120,1910,front,4/5 doors,diesel,limousine,"manual, 5 speeds"
202,2,posted a week ago,400,Alfa Romeo 156,2001,manual A/C,Euro 3,5,116 HP (85 kW),gray,290561,1900,front,4/5 doors,diesel,caravan,"manual, 5 speeds"
84,0,posted 2 days ago,450,Alfa Romeo 156,2001,manual A/C,Euro 3,5,116 HP (85 kW),green,300000,1900,front,4/5 doors,diesel,caravan,"manual, 5 speeds"
153,3,updated 3 weeks ago,1800,Alfa Romeo 156,2001,manual A/C,,5,110 HP (81 kW),gray,81000,1900,front,4/5 doors,diesel,limousine,"manual, 5 speeds"
205,1,posted a week ago,1200,Alfa Romeo 156,2001,manual A/C,,4,110 HP (81 kW),black,282156,1900,front,4/5 doors,diesel,limousine,"manual, 5 speeds"
248,4,posted 2 weeks ago,500,Alfa Romeo 156,2001,manual A/C,,5,110 HP (81 kW),gray,340000,1910,front,4/5 doors,diesel,limousine,"manual, 5 speeds"
132,1,posted a week ago,550,Alfa Romeo 156,2001,no A/C,,5,136 HP (100 kW),gray,300000,1800,front,4/5 doors,petrol,limousine,"manual, 5 speeds"
116,0,posted 6 days ago,550,Alfa Romeo 156,2001,manual A/C,Euro 3,5,122 HP (90 kW),black,290000,1899,front,4/5 doors,diesel,coupe,"manual, 5 speeds"
792,10,updated 2 weeks ago,999,Alfa Romeo 156,2001,manual A/C,Euro 3,5,110 HP (81 kW),gray,209000,1900,front,4/5 doors,diesel,caravan,"manual, 5 speeds"
222,2,posted 3 weeks ago,850,Alfa Romeo 156,2001,automatic A/C,Euro 2,5,150 HP (110 kW),gray,182658,2387,front,4/5 doors,diesel,caravan,"manual, 5 speeds"
139,1,posted 2 weeks ago,950,Alfa Romeo 156,2000,automatic A/C,,4,141 HP (104 kW),gray,305000,1800,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
3308,16,updated 3 weeks ago,2400,Alfa Romeo 156,1999,automatic A/C,Euro 3,5,166 HP (122 kW),gray,192000,1970,front,4/5 doors,petrol,limousine,"manual, 5 speeds"
164,2,posted a week ago,850,Alfa Romeo 156,1999,automatic A/C,Euro 3,5,109 HP (80 kW),gray,3000,1900,front,4/5 doors,diesel,limousine,"manual, 5 speeds"
235,3,posted 3 weeks ago,5500,Alfa Romeo 159,2010,automatic A/C,Euro 4,5,150 HP (110 kW),black,198000,1900,front,4/5 doors,diesel,limousine,"manual, 6 speeds"
129,1,posted 2 weeks ago,111,Alfa Romeo 159,2009,manual A/C,,5,116 HP (85 kW),gray,200100,1900,front,4/5 doors,hybrid,limousine,"manual, 6 speeds"
24,0,yesterday,3200,Alfa Romeo 159,2008,manual A/C,Euro 4,5,120 HP (88 kW),black,224000,1900,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
211,3,posted 2 weeks ago,2100,Alfa Romeo 159,2008,manual A/C,Euro 5,5,143 HP (105 kW),brown,243151,1788,front,4/5 doors,petrol,limousine,"manual, 5 speeds"
171,2,updated 3 weeks ago,5500,Alfa Romeo 159,2008,automatic A/C,Euro 4,5,204 HP (150 kW),gray,171950,2498,front,4/5 doors,diesel,caravan,automatic
75,0,posted a week ago,3000,Alfa Romeo 159,2008,automatic A/C,Euro 3,5,120 HP (88 kW),gray,333000,1910,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
105,0,posted 4 days ago,2900,Alfa Romeo 159,2008,automatic A/C,Euro 5,5,120 HP (88 kW),teget,250000,1200,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
52,0,posted 3 weeks ago,4300,Alfa Romeo 159,2008,automatic A/C,Euro 4,5,120 HP (88 kW),gray,270000,1900,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
69,1,posted a week ago,3100,Alfa Romeo 159,2008,automatic A/C,Euro 4,5,150 HP (110 kW),gray,198123,1900,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
48,0,posted a week ago,2700,Alfa Romeo 159,2007,manual A/C,Euro 4,5,120 HP (88 kW),black,275000,1900,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
18,0,posted today,2700,Alfa Romeo 159,2007,manual A/C,Euro 4,5,120 HP (88 kW),black,275000,1910,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
28,0,posted 2 days ago,3350,Alfa Romeo 159,2007,automatic A/C,Euro 4,5,150 HP (110 kW),gray,230000,1910,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
92,5,posted a week ago,2500,Alfa Romeo 159,2007,automatic A/C,Euro 4,5,120 HP (88 kW),gray,240000,1910,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
413,4,posted 3 weeks ago,3200,Alfa Romeo 159,2007,automatic A/C,Euro 4,5,209 HP (154 kW),black,245000,2387,4x4,4/5 doors,diesel,caravan,"manual, 6 speeds"
257,1,posted 6 days ago,3599,Alfa Romeo 159,2007,no A/C,,5,150 HP (110 kW),gray,203456,1900,front,4/5 doors,diesel,caravan,automatic
59,0,posted a week ago,3450,Alfa Romeo 159,2007,automatic A/C,Euro 4,5,150 HP (110 kW),blue,325000,1910,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
146,3,updated 5 days ago,3600,Alfa Romeo 159,2007,automatic A/C,Euro 4,5,150 HP (110 kW),gray,203000,1910,front,4/5 doors,diesel,caravan,automatic
109,0,yesterday,1450,Alfa Romeo 159,2007,automatic A/C,Euro 4,5,150 HP (110 kW),black,230000,1900,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
230,5,posted a week ago,1500,Alfa Romeo 159,2007,automatic A/C,Euro 4,5,139 HP (102 kW),gray,222222,1800,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
158,1,posted a week ago,2500,Alfa Romeo 159,2007,automatic A/C,Euro 4,5,140 HP (103 kW),gray,189808,1798,front,4/5 doors,petrol + gas,caravan,"manual, 5 speeds"
224,5,posted 2 weeks ago,2200,Alfa Romeo 159,2007,manual A/C,Euro 3,5,150 HP (110 kW),golden,250000,1910,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
56,0,posted a week ago,2450,Alfa Romeo 159,2006,automatic A/C,Euro 4,5,150 HP (110 kW),black,291000,1910,front,4/5 doors,petrol,caravan,"manual, 6 speeds"
136,2,posted 2 weeks ago,3000,Alfa Romeo 159,2006,automatic A/C,Euro 4,5,120 HP (88 kW),gray,269500,1900,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
4,1,posted today,3750,Alfa Romeo 159,2006,automatic A/C,Euro 4,5,150 HP (110 kW),gray,309500,1910,front,4/5 doors,diesel,limousine,"manual, 6 speeds"
92,1,posted a week ago,2100,Alfa Romeo 159,2006,automatic A/C,Euro 4,5,150 HP (110 kW),gray,300000,1989,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
71,2,posted a week ago,2999,Alfa Romeo 159,2006,automatic A/C,Euro 4,5,150 HP (110 kW),black,220000,1900,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
75,0,posted 2 weeks ago,3300,Alfa Romeo 159,2006,automatic A/C,Euro 4,5,150 HP (110 kW),gray,201372,1910,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
122,2,posted 2 weeks ago,3850,Alfa Romeo 159,2006,automatic A/C,Euro 4,5,150 HP (110 kW),black,281000,1910,front,4/5 doors,diesel,limousine,"manual, 6 speeds"
264,9,posted 2 weeks ago,2500,Alfa Romeo 159,2005,automatic A/C,Euro 3,5,150 HP (110 kW),black,229000,1900,front,4/5 doors,diesel,limousine,"manual, 6 speeds"
94,0,posted 3 weeks ago,5000,Alfa Romeo 164,1998,automatic A/C,Euro 2,5,201 HP (148 kW),silver,111111,1960,front,4/5 doors,petrol,limousine,"manual, 5 speeds"
2380,13,updated 4 days ago,5000,Alfa Romeo 164,1988,manual A/C,Euro 2,5,204 HP (150 kW),green,166000,1998,front,4/5 doors,petrol,limousine,"manual, 5 speeds"
78,0,yesterday,1200,Alfa Romeo 166,2001,manual A/C,Euro 3,5,143 HP (105 kW),gray,265000,2400,front,4/5 doors,diesel,limousine,"manual, 6 speeds"
3395,20,updated 4 days ago,1500,Alfa Romeo 75,1985,no A/C,Euro 1,5,82 HP (60 kW),green,200000,1580,back,4/5 doors,petrol,limousine,"manual, 5 speeds"
50,1,posted 2 days ago,10990,Alfa Romeo Brera,2009,automatic A/C,Euro 5,4,170 HP (125 kW),black,168000,1989,front,2/3 doors,diesel,coupe,"manual, 6 speeds"
125,1,posted 2 weeks ago,6250,Alfa Romeo Giulietta,2012,automatic A/C,Euro 5,5,105 HP (77 kW),white,218789,1600,front,4/5 doors,diesel,hatchback,"manual, 6 speeds"
8,0,posted today,3500,Alfa Romeo GT,2010,automatic A/C,Euro 4,4,150 HP (110 kW),golden,291000,1910,front,2/3 doors,diesel,coupe,"manual, 6 speeds"
1831,12,updated 6 days ago,3299,Alfa Romeo GT,2005,manual A/C,,5,241 HP (177 kW),black,253000,1900,front,2/3 doors,diesel,coupe,"manual, 6 speeds"
73,1,posted 4 days ago,3000,Alfa Romeo GT,2005,automatic A/C,Euro 3,5,148 HP (109 kW),red,165000,1998,front,2/3 doors,petrol,coupe,"manual, 5 speeds"
174,2,posted 3 weeks ago,2500,Alfa Romeo GT,2005,automatic A/C,Euro 3,5,150 HP (110 kW),gray,319467,1900,front,2/3 doors,diesel,coupe,"manual, 6 speeds"
310,7,updated a week ago,2650,Alfa Romeo GT,2004,automatic A/C,Euro 4,5,150 HP (110 kW),gray,295000,1900,front,2/3 doors,diesel,coupe,"manual, 6 speeds"
247,1,updated a week ago,3000,Alfa Romeo GT,2004,automatic A/C,Euro 4,5,166 HP (122 kW),blue,159000,1997,front,2/3 doors,petrol,coupe,"manual, 5 speeds"
60,3,posted 5 days ago,3890,Alfa Romeo Mito,2015,manual A/C,Euro 5,4,84 HP (62 kW),white,236890,1248,front,2/3 doors,diesel,hatchback,"manual, 5 speeds"
66,0,posted a week ago,4700,Alfa Romeo Mito,2013,automatic A/C,Euro 6,5,84 HP (62 kW),gray,210099,1248,front,2/3 doors,diesel,hatchback,"manual, 5 speeds"
628,5,updated a week ago,5700,Alfa Romeo Mito,2012,manual A/C,Euro 5,4,105 HP (77 kW),red,141000,1392,front,2/3 doors,petrol,hatchback,"manual, 6 speeds"
36,1,posted 3 days ago,5000,Alfa Romeo Mito,2012,automatic A/C,Euro 5,4,86 HP (63 kW),black,176000,1300,front,2/3 doors,diesel,coupe,"manual, 5 speeds"
1039,14,updated 6 days ago,3799,Alfa Romeo Mito,2011,manual A/C,Euro 4,5,79 HP (58 kW),cream,91500,1390,front,2/3 doors,petrol,hatchback,"manual, 5 speeds"
67,1,posted a week ago,4500,Alfa Romeo Mito,2011,automatic A/C,Euro 5,5,105 HP (77 kW),red,126000,1368,front,2/3 doors,petrol,hatchback,"manual, 6 speeds"
755,1,updated 3 days ago,5699,Alfa Romeo Mito,2011,manual A/C,Euro 5,5,105 HP (77 kW),brown,129999,1368,front,2/3 doors,petrol,hatchback,"manual, 6 speeds"
22,1,yesterday,3500,Alfa Romeo Mito,2009,automatic A/C,Euro 4,4,120 HP (88 kW),gray,200000,1598,front,2/3 doors,diesel,coupe,"manual, 6 speeds"
46,2,posted 5 days ago,3150,Alfa Romeo Mito,2009,manual A/C,,4,120 HP (88 kW),gray,205000,1400,front,2/3 doors,petrol,hatchback,"manual, 5 speeds"
67,0,posted 2 weeks ago,3700,Alfa Romeo Mito,2008,manual A/C,Euro 4,4,120 HP (88 kW),gray,198500,1600,front,2/3 doors,diesel,limousine,"manual, 6 speeds"
1024,7,updated a week ago,17500,Alfa Romeo Spider,2009,manual A/C,Euro 4,2,185 HP (136 kW),white,90000,2198,front,2/3 doors,petrol,cabriolet,"manual, 6 speeds"
96,0,posted a week ago,30300,Alfa Romeo Stelvio,2018,automatic A/C,,5,280 HP (206 kW),gray,120000,1990,4x4,4/5 doors,petrol,suv,automatic
268,2,posted 2 weeks ago,800,Audi 100,1995,no A/C,Euro 3,5,136 HP (100 kW),white,315234,2300,4x4,4/5 doors,petrol,caravan,"manual, 5 speeds"
1776,8,updated 4 weeks ago,999,Audi 100,1994,manual A/C,Euro 1,5,116 HP (85 kW),gray,333333,2499,front,4/5 doors,diesel,caravan,"manual, 5 speeds"
294,3,posted a week ago,500,Audi 100,1993,automatic A/C,,5,139 HP (102 kW),gray,250000,1999,front,4/5 doors,gas,caravan,"manual, 5 speeds"
174,6,posted 5 days ago,650,Audi 100,1992,automatic A/C,Euro 2,5,116 HP (85 kW),gray,250000,2000,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
934,1,updated a week ago,30000,Audi 100,1992,automatic A/C,Euro 2,5,133 HP (98 kW),black,400000,2300,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
155,0,posted 3 weeks ago,3200,Audi 100,1991,no A/C,Euro 3,5,133 HP (98 kW),bordeaux,245680,2309,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
221,3,posted a week ago,1100,Audi 80,1994,manual A/C,,5,101 HP (74 kW),black,300000,1600,front,4/5 doors,petrol + gas,caravan,"manual, 5 speeds"
261,5,posted a week ago,550,Audi 80,1992,no A/C,,5,73 HP (54 kW),gray,333000,1600,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
119,1,posted 3 days ago,1100,Audi 80,1992,no A/C,Euro 2,5,116 HP (85 kW),turquoise,20000,2000,4x4,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
739,11,updated 2 weeks ago,400,Audi 80,1992,no A/C,Euro 2,5,90 HP (66 kW),gray,300000,1997,front,4/5 doors,petrol,limousine,"manual, 5 speeds"
81,0,yesterday,750,Audi 80,1992,no A/C,,5,90 HP (66 kW),black,400000,1999,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
294,1,posted 2 weeks ago,500,Audi 80,1992,no A/C,,5,90 HP (66 kW),gray,400000,1900,front,4/5 doors,diesel,limousine,"manual, 5 speeds"
78,0,posted 2 days ago,850,Audi 80,1990,no A/C,Euro 1,5,82 HP (60 kW),black,300000,1781,4x4,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
139,3,posted 6 days ago,700,Audi 80,1990,no A/C,,5,80 HP (59 kW),gray,350000,160,front,4/5 doors,diesel,limousine,"manual, 5 speeds"
297,2,posted a week ago,550,Audi 80,1990,no A/C,Euro 3,5,110 HP (81 kW),gray,300000,1800,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
105,2,posted a week ago,900,Audi 80,1990,no A/C,Euro 1,5,72 HP (53 kW),black,23415,1598,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
185,3,posted 2 weeks ago,700,Audi 80,1989,no A/C,,5,54 HP (40 kW),gray,250000,1570,front,4/5 doors,diesel,limousine,"manual, 5 speeds"
38,2,posted today,399,Audi 80,1989,no A/C,Euro 3,5,75 HP (55 kW),gray,1111,1800,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
226,2,posted 2 weeks ago,850,Audi 80,1989,no A/C,Euro 3,5,90 HP (66 kW),gray,200000,1800,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
285,4,posted a week ago,180,Audi 80,1988,manual A/C,Euro 2,5,90 HP (66 kW),gray,10000,1800,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
92,1,posted 5 days ago,999,Audi 80,1988,no A/C,,5,90 HP (66 kW),gray,329300,1795,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
307,3,posted a week ago,500,Audi 80,1988,no A/C,Euro 1,5,110 HP (81 kW),gray,350000,1800,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
353,8,posted a week ago,350,Audi 80,1985,no A/C,,5,76 HP (56 kW),teget,230120,1800,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
470,0,updated 3 weeks ago,11999,Audi 80,1982,no A/C,Euro 1,5,75 HP (55 kW),green,50000,1982,front,4/5 doors,petrol,limousine,"manual, 5 speeds"
102,0,posted 3 weeks ago,5200,Audi 80,1980,no A/C,Euro 1,5,75 HP (55 kW),green,102000,1600,front,4/5 doors,petrol,limousine,"manual, 4 speeds"
148,1,posted 2 weeks ago,11800,Audi A1,2017,manual A/C,Euro 6,5,90 HP (66 kW),black,85000,1400,front,4/5 doors,diesel,hatchback,"manual, 5 speeds"
